,year,timestep,stand_age,disturb_mort,disturb_bio_remove,lai_scalar,fol_n,npp_decline_scalar,wood_mort_rate,snag_fall_rate,snag_decay_rate,dwd_decay_rate,wood_production,wood_biomass,bark_biomass,standing_necromass,downed_necromass,standing_necromass_N,standing_necromass_CN,downed_necromass_N,downed_necromass_CN,standing_necromass_bark,downed_necromass_bark,standing_necromass_bark_N,standing_necromass_bark_CN,downed_necromass_bark_N,downed_necromass_bark_CN,wood_necromass,wood_necromass_N,bark_necromass,bark_necromass_N,total_necromass,total_necromass_N
24,1943,24,24.0,0.0,0.0,1.0,2.46,1.0,0.01616161616161616,0.0668824163969795,0.030466830466830463,0.0606811145510836,542.0,7497.352925073909,0.0,598.8751271072849,246.24381753868352,1.0802382522232872,24.03067245621832,0.6553020733779463,20.08707502960593,0.0,0.0,0.0,1243.6567164179105,,,845.1189446459684,1.7355403256012334,0.0,,845.1189446459684,
25,1944,25,25.0,0.0,0.0,1.0,2.45,1.0,0.01625,0.06617903169627308,0.02997601918465228,0.060060060060060066,540.0,7916.183584870695,0.0,657.2898974548764,275.89133828575734,1.189567933912758,24.754418718626233,0.7411207965636125,20.693118463579573,0.0,0.0,0.0,1293.402985074627,,,933.1812357406337,1.9306887304763705,0.0,,933.1812357406337,
26,1945,26,26.0,0.0,0.0,1.0,2.44,1.0,0.016336633663366337,0.06551840594393786,0.029508196721311476,0.05947521865889214,538.0,8325.545601616546,0.0,717.5155070229089,307.4256385303661,1.3028899885848446,25.46237230121101,0.8329046153426232,21.308918939025084,0.0,0.0,0.0,1343.1492537313434,,,1024.941145553275,2.135794603927468,0.0,,1024.941145553275,
27,1946,27,27.0,0.0,0.0,1.0,2.43,1.0,0.01642156862745098,0.06489675516224189,0.029061784897025173,0.05892351274787536,536.0,8725.534213075287,0.0,779.3838528917134,340.80964201343863,1.4199018858693866,26.155540305844564,0.932668015091213,21.898195368866435,0.0,0.0,0.0,1392.8955223880596,,,1120.193494905152,2.3525699009605994,0.0,,1120.193494905152,
28,1947,28,28.0,0.0,0.0,1.0,2.42,1.0,0.01650485436893204,0.06431072906717605,0.028635346756152126,0.05840220385674932,534.0,9116.2472541841,0.0,842.7396836967656,376.0007004596568,1.540288879476714,26.85867281780685,1.0383887624591148,22.49606378400848,0.0,0.0,0.0,1442.641791044776,,,1218.7403841564224,2.578677641935829,0.0,,1218.7403841564224,
29,1948,29,29.0,0.0,0.0,1.0,2.41,1.0,0.01658653846153846,0.06375735066542866,0.02822757111597374,0.0579088471849866,532.0,9497.784920862616,0.0,907.4390321502326,412.9517554909424,1.6638148903422973,27.547450457739593,1.14994511812242,23.10241435767794,0.0,0.0,0.0,1492.3880597014925,,,1320.390787641175,2.813760008464717,0.0,,1320.390787641175,
30,1949,30,30.0,0.0,0.0,1.0,2.4,1.0,0.016666666666666666,0.06323396567299007,0.027837259100642397,0.05744125326370758,530.0,9870.249545973307,0.0,973.3478943289404,451.6122914343501,1.790180431827237,28.24560837346631,1.273712580552795,23.613033779682326,0.0,0.0,0.0,1542.134328358209,,,1424.9601857632904,3.063893012380032,0.0,,1424.9601857632904,
31,1950,31,31.0,0.0,0.0,1.0,2.39,0.9926168900970561,0.016745283018867924,0.06273819994136617,0.027463312368972745,0.05699745547073792,524.1017179712456,10229.847104844997,0.0,1040.279931415013,491.9250220452079,1.9190932753321708,28.929822587329507,1.3991667580992804,24.2022197542369,0.0,0.0,0.0,1591.8805970149253,,,1532.2049534602208,3.318260033431451,0.0,,1532.2049534602208,
32,1951,32,32.0,0.0,0.0,1.0,2.38,0.9855201503423955,0.016822429906542057,0.06226792345044273,0.027104722792607804,0.056575682382134,518.3835990801,10576.929018914721,0.0,1108.0651591393766,533.8276628028923,2.0501794901876123,29.622883327569436,1.5301270936579718,24.798848851856217,0.0,0.0,0.0,1641.6268656716418,,,1641.892821942269,3.580306583845584,0.0,,1641.892821942269,
33,1952,33,33.0,0.0,0.0,1.0,2.37,0.9786902305817646,0.016898148148148148,0.061821219715956555,0.02676056338028169,0.056174334140435836,512.8336808248447,10911.833052692402,0.0,1176.5481075899306,577.2541497082697,2.1831304060991243,30.324671874990663,1.6730985659994118,25.337946602492856,0.0,0.0,0.0,1691.3731343283582,,,1753.8022572982004,3.856228972098536,0.0,,1753.8022572982004,
34,1953,34,34.0,0.0,0.0,1.0,2.36,0.972109457458668,0.016972477064220184,0.06139635968486824,0.02642998027613412,0.055791962174940896,507.4411367934247,11234.88441799357,0.0,1245.5862379327527,622.1356490094504,2.3177523935608577,31.01253812528271,1.8179513714625168,25.917135518625397,0.0,0.0,0.0,1741.1194029850747,,,1867.7218869422031,4.135703765023375,0.0,,1867.7218869422031,
35,1954,35,35.0,0.0,0.0,1.0,2.35,0.9657618052019666,0.017045454545454544,0.060991779368867675,0.02611218568665377,0.05542725173210162,502.19613870502263,11546.396738595031,0.0,1315.0485763907536,668.4013932060232,2.4536877753840853,31.70865190124552,1.96775083972503,26.503211153669834,0.0,0.0,0.0,1790.865671641791,,,1983.4499695967768,4.421438615109116,0.0,,1983.4499695967768,
36,1955,36,36.0,0.0,0.0,1.0,2.34,0.9596327000605882,0.017117117117117116,0.06060606060606061,0.025806451612903226,0.055079006772009026,497.0897386313847,11846.67289645491,0.0,1384.8145323352883,715.9793725676191,2.5907940088517467,32.39124713240317,2.1307194185086913,27.03395265641518,0.0,0.0,0.0,1840.6119402985075,,,2100.7939049029073,4.721513427360438,0.0,,2100.7939049029073,
37,1956,37,37.0,0.0,0.0,1.0,2.33,0.9537088526615061,0.0171875,0.06023791445203746,0.025512104283054005,0.05474613686534217,492.11376797333713,12136.005777011449,0.0,1454.772872723323,764.7969063836018,2.728726805584033,33.08164901487081,2.2939936909311376,27.602473690147484,0.0,0.0,0.0,1890.358208955224,,,2219.5697791069247,5.02272049651517,0.0,,2219.5697791069247,
38,1957,38,38.0,0.0,0.0,1.0,2.32,0.947978113667247,0.017256637168141593,0.05988616679039842,0.02522851919561243,0.054427645788336934,487.26075042496495,12414.678928144029,0.0,1524.820829566201,814.7811140314545,2.8673906570076375,33.75891392429051,2.461480107215694,28.177372788523332,0.0,0.0,0.0,1940.1044776119404,,,2339.6019435976555,5.328870764223332,0.0,,2339.6019435976555,
39,1958,39,39.0,0.0,0.0,1.0,2.31,0.9424293489748035,0.01732456140350877,0.05954974582425563,0.02495511669658887,0.054122621564482026,482.5238266750994,12682.967144997172,0.0,1594.8633208144838,865.8593025473209,3.006450329931175,34.44357952236775,2.638467701567147,28.728494696347955,0.0,0.0,0.0,1989.8507462686566,,,2460.722623361805,5.644918031498322,0.0,,2460.722623361805,
40,1959,40,40.0,0.0,0.0,1.0,2.3,0.9370523313836244,0.017391304347826087,0.059227671167969675,0.024691358024691357,0.053830227743271224,477.8966890056484,12941.136990920633,0.0,1664.812268122605,917.9592845705215,3.145853866847463,35.11546918325795,2.819120391894871,29.285591589314734,0.0,0.0,0.0,2039.597014925373,,,2582.7715526931265,5.964974258742334,0.0,,2582.7715526931265,
41,1960,41,41.0,0.0,0.0,1.0,2.29,0.931837646207187,0.017456896551724138,0.0589190443052656,0.024436741767764298,0.05354969574036511,473.373524273251,13189.447263177874,0.0,1734.5859975269411,971.0096382076113,3.285271711325453,35.79438463250537,3.0074764167156505,29.81833288123269,0.0,0.0,0.0,2089.3432835820895,,,2705.595635734552,6.2927481280411035,0.0,,2705.595635734552,
42,1961,42,42.0,0.0,0.0,1.0,2.28,0.9267766087413509,0.01752136752136752,0.05862304021813224,0.024190800681431004,0.05328031809145129,468.9489640231235,13428.14941075328,0.0,1804.1087112204805,1024.9399184338556,3.42469238884438,36.46086619098408,3.1941139371817275,30.387037005599783,0.0,0.0,0.0,2139.089552238806,,,2829.048629654336,6.618806326026108,0.0,,2829.048629654336,
43,1962,43,43.0,0.0,0.0,1.0,2.27,0.9218611918566687,0.017584745762711865,0.05833890002226676,0.023953098827470688,0.053021442495126705,464.618040695761,13657.487910491398,0.0,1873.310020409092,1079.680828050325,3.5637893997175727,37.13402638883106,3.3970441543472973,30.903541211023526,0.0,0.0,0.0,2188.8358208955224,,,2952.990848459417,6.96083355406487,0.0,,2952.990848459417,
44,1963,44,44.0,0.0,0.0,1.0,2.26,0.9170839622690197,0.01764705882352941,0.0580659244706396,0.02372322899505766,0.05277246653919694,460.3761490590478,13877.700606887143,0.0,1942.1245307477761,1135.1643548856146,3.702588991189726,37.795077188404086,3.5954848274361133,31.4543544432546,0.0,0.0,0.0,2238.582089552239,,,3077.2888856333907,7.29807381862584,0.0,,3077.2888856333907,
45,1964,45,45.0,0.0,0.0,1.0,2.25,0.9124380242771514,0.017708333333333333,0.057803468208092484,0.023500810372771474,0.0525328330206379,456.2190121385757,14089.019020080652,0.0,2010.4914731287618,1191.3238808254855,3.8407657061651572,38.46248436836296,3.7959742590350105,32.01018683451723,0.0,0.0,0.0,2288.3283582089553,,,3201.8153539542473,7.636739965200167,0.0,,3201.8153539542473,
46,1965,46,46.0,0.0,0.0,1.0,2.24,0.9079169699476807,0.017768595041322315,0.05755093467758874,0.02328548644338118,0.05230202578268876,452.142651033945,14291.668625967335,0.0,2078.354373666866,1248.0942673329691,3.9783809835513173,39.11809041059432,4.011328980845764,32.51445284459631,0.0,0.0,0.0,2338.0746268656717,,,3326.4486409998353,7.989709964397082,0.0,,3326.4486409998353,
47,1966,47,47.0,0.0,0.0,1.0,2.23,0.9035148348861797,0.017827868852459017,0.05730777159348588,0.023076923076923078,0.052079566003616636,448.1433581035451,14485.869111791295,0.0,2145.6607576340657,1305.4119213540405,4.115108881124079,39.77975298012471,4.222975762350096,33.05278288616359,0.0,0.0,0.0,2387.820895522388,,,3451.0726789881064,8.338084643474176,0.0,,3451.0726789881064,
48,1967,48,48.0,0.0,0.0,1.0,2.2199999999999998,0.8992260588637365,0.01788617886178862,0.05707346690953248,0.02287480680061824,0.05186500888099467,444.2176730786858,14671.834610131078,0.0,2212.3618828619515,1363.214844863808,4.250824454534223,40.44739647083336,4.442533560514768,33.56799715328033,0.0,0.0,0.0,2437.5671641791046,,,3575.576727725759,8.693358015048991,0.0,,3575.576727725759,
49,1968,49,49.0,0.0,0.0,1.0,2.21,0.8950454506770039,0.017943548387096775,0.056847545219638244,0.022678843226788432,0.05165794066317626,440.36236173308595,14849.773913796778,0.0,2278.4124987802093,1421.4426707738269,4.3856632231908055,41.10332805645534,4.6557532884635116,34.11605808391913,0.0,0.0,0.0,2487.313432835821,,,3699.8551695540364,9.041416511654317,0.0,,3699.8551695540364,
50,1969,50,50.0,0.0,0.0,1.0,2.2,0.8909681567103649,0.018,0.056629564538176136,0.022488755622188907,0.051457975986277875,436.57439678807884,15019.890673825197,0.0,2343.7706278102087,1480.0366874748497,4.519268624572293,41.764967044810945,4.869621632560291,34.668574817427185,0.0,0.0,0.0,2537.0597014925374,,,3823.8073152850584,9.388890257132584,0.0,,3823.8073152850584,
51,1970,51,51.0,0.0,0.0,1.0,2.19,0.8869896327447203,0.018055555555555554,0.05641911341393207,0.022304283604135895,0.051264755480607084,432.8509407794235,15182.383582475766,0.0,2408.39736630075,1538.939853916418,4.651806529464814,42.41518570167066,5.103489575790798,35.1718564591574,0.0,0.0,0.0,2586.805970149254,,,3947.337220217168,9.755296105255612,0.0,,3947.337220217168,
52,1971,52,52.0,0.0,0.0,1.0,2.18,0.8831056186211911,0.01811023622047244,0.05621580833804943,0.02212518195050946,0.05107794361525705,429.1893306498989,15337.446542886519,0.0,2472.256702591122,1598.0968068129785,4.782917360985748,43.070856025181484,5.335532908102171,35.67946308818284,0.0,0.0,0.0,2636.5522388059703,,,4070.353509404101,10.11845026908792,0.0,,4070.353509404101,
53,1972,53,53.0,0.0,0.0,1.0,2.17,0.8793121154218346,0.0181640625,0.056019291411611945,0.02195121951219512,0.05089722675367047,425.587063864168,15485.268826840143,0.0,2535.31535012556,1657.4538613055688,4.912795131907989,43.71538357825738,5.558743140824983,36.218470986894545,0.0,0.0,0.0,2686.2985074626868,,,4192.7692114311285,10.471538272732973,0.0,,4192.7692114311285,
54,1973,54,54.0,0.0,0.0,1.0,2.16,0.8756053648750313,0.01821705426356589,0.05582922824302135,0.02178217821782178,0.0507223113964687,422.0417858697651,15626.035221909882,0.0,2597.542593832285,1716.95900619017,5.0410768500152345,44.36512323470173,5.781574170461294,36.761468406917096,0.0,0.0,0.0,2736.044776119403,,,4314.501600022455,10.822651020476528,0.0,,4314.501600022455,
55,1974,55,55.0,0.0,0.0,1.0,2.15,0.8719818307318771,0.01826923076923077,0.05564530604918327,0.021617852161785217,0.05055292259083728,418.55127875130097,15759.926169099259,0.0,2658.9101482269803,1776.5618946415138,5.1676842679070045,45.020011621614465,6.015405774647123,37.28252558389057,0.0,0.0,0.0,2785.791044776119,,,4435.472042868494,11.183090042554127,0.0,,4435.472042868494,
56,1975,56,56.0,0.0,0.0,1.0,2.14,0.868438181892892,0.0183206106870229,0.055467231937820174,0.021458046767537826,0.050388802488335924,415.11345094480237,15887.117891954747,0.0,2719.3920259114198,1836.213831208705,5.292878566681055,45.66386040517461,6.258375106269035,37.78147172535079,0.0,0.0,0.0,2835.5373134328356,,,4555.605857120125,11.55125367295009,0.0,,4555.605857120125,
